date,gender,age_group,cases,deaths
2021-04-17,male,50-59,1533,
2021-04-17,male,60-69,848,
2021-04-17,male,70-79,411,
2021-04-17,male,80-89,192,
2021-04-17,male,90+,59,
2021-04-17,male,total,9887,
2021-04-17,total,00-09,1002,
2021-04-17,total,10-19,2857,
2021-04-17,total,20-29,3475,
2021-04-17,total,30-39,3425,
2021-04-17,total,40-49,3350,
2021-04-17,total,50-59,3006,
2021-04-17,total,60-69,1763,
2021-04-17,total,70-79,869,
2021-04-17,total,80-89,476,
2021-04-17,total,90+,175,
2021-04-17,total,total,20400,
2021-04-18,female,00-09,87,
2021-04-18,female,10-19,229,
2021-04-18,female,20-29,460,
2021-04-18,female,30-39,388,
2021-04-18,female,40-49,399,
2021-04-18,female,50-59,268,
2021-04-18,female,60-69,187,
2021-04-18,female,70-79,113,
2021-04-18,female,80-89,107,
2021-04-18,female,90+,61,
2021-04-18,female,total,2299,
2021-04-18,male,00-09,113,
2021-04-18,male,10-19,244,
2021-04-18,male,20-29,423,
2021-04-18,male,30-39,425,
2021-04-18,male,40-49,338,
2021-04-18,male,50-59,302,
2021-04-18,male,60-69,186,
2021-04-18,male,70-79,117,
2021-04-18,male,80-89,90,
2021-04-18,male,90+,26,
2021-04-18,male,total,2264,
2021-04-18,total,00-09,205,
2021-04-18,total,10-19,476,
2021-04-18,total,20-29,891,
2021-04-18,total,30-39,815,
2021-04-18,total,40-49,748,
2021-04-18,total,50-59,572,
2021-04-18,total,60-69,375,
2021-04-18,total,70-79,230,
2021-04-18,total,80-89,197,
2021-04-18,total,90+,87,
2021-04-18,total,total,4597,
2021-04-19,female,00-09,906,
2021-04-19,female,10-19,2636,
2021-04-19,female,20-29,3442,
2021-04-19,female,30-39,3505,
2021-04-19,female,40-49,3567,
2021-04-19,female,50-59,3177,
2021-04-19,female,60-69,2003,
2021-04-19,female,70-79,1038,
2021-04-19,female,80-89,625,
2021-04-19,female,90+,326,
2021-04-19,female,total,21233,
2021-04-19,male,00-09,972,
2021-04-19,male,10-19,2574,
2021-04-19,male,20-29,3498,
2021-04-19,male,30-39,3284,
2021-04-19,male,40-49,3305,
