date,gender,age_group,cases,deaths
2020-09-16,total,total,605.0,3.0
2020-09-17,female,total,420.0,6.0
2020-09-17,male,total,350.0,4.0
2020-09-17,total,total,770.0,10.0
2020-09-18,female,total,419.0,2.0
2020-09-18,male,total,361.0,4.0
2020-09-18,total,total,780.0,6.0
2020-09-19,female,total,462.0,3.0
2020-09-19,male,total,387.0,2.0
2020-09-19,total,total,849.0,5.0
2020-09-20,female,total,302.0,8.0
2020-09-20,male,total,250.0,5.0
2020-09-20,total,total,552.0,13.0
2020-09-21,female,total,320.0,2.0
2020-09-21,male,total,303.0,6.0
2020-09-21,total,total,623.0,8.0
2020-09-22,female,total,240.0,2.0
2020-09-22,male,total,223.0,3.0
2020-09-22,total,total,463.0,5.0
2020-09-23,female,total,448.0,0.0
2020-09-23,male,total,354.0,3.0
2020-09-23,total,total,802.0,3.0
2020-09-24,female,total,359.0,2.0
2020-09-24,male,total,332.0,1.0
2020-09-24,total,total,691.0,3.0
2020-09-25,female,total,466.0,3.0
2020-09-25,male,total,433.0,2.0
2020-09-25,total,total,899.0,5.0
2020-09-26,female,total,487.0,7.0
2020-09-26,male,total,397.0,1.0
2020-09-26,total,total,884.0,8.0
2020-09-27,female,total,321.0,4.0
2020-09-27,male,total,344.0,5.0
2020-09-27,total,total,665.0,9.0
2020-09-28,female,total,243.0,3.0
2020-09-28,male,total,182.0,1.0
2020-09-28,total,total,425.0,4.0
2020-09-29,female,total,336.0,4.0
2020-09-29,male,total,352.0,2.0
2020-09-29,total,total,688.0,6.0
2020-09-30,female,total,452.0,7.0
2020-09-30,male,total,373.0,1.0
2020-09-30,total,total,825.0,8.0
2020-10-01,female,total,467.0,4.0
2020-10-01,male,total,387.0,2.0
2020-10-01,total,total,854.0,6.0
2020-10-02,female,total,493.0,3.0
2020-10-02,male,total,395.0,3.0
2020-10-02,total,total,888.0,6.0
2020-10-03,female,total,536.0,5.0
2020-10-03,male,total,427.0,7.0
2020-10-03,total,total,963.0,12.0
2020-10-04,female,total,515.0,6.0
2020-10-04,male,total,389.0,4.0
2020-10-04,total,total,904.0,10.0
2020-10-05,female,total,387.0,7.0
2020-10-05,male,total,347.0,6.0
2020-10-05,total,total,734.0,13.0
2020-10-06,female,total,221.0,6.0
2020-10-06,male,total,206.0,8.0
2020-10-06,total,total,427.0,14.0
2020-10-07,female,total,488.0,3.0
2020-10-07,male,total,456.0,5.0
2020-10-07,total,total,944.0,8.0
2020-10-08,female,total,649.0,3.0
2020-10-08,male,total,629.0,7.0
2020-10-08,total,total,1278.0,10.0
2020-10-09,female,total,742.0,10.0
2020-10-09,male,total,652.0,2.0
2020-10-09,total,total,1394.0,12.0
2020-10-10,female,total,879.0,3.0
2020-10-10,male,total,767.0,2.0
2020-10-10,total,total,1646.0,5.0
2020-10-11,female,total,622.0,6.0
2020-10-11,male,total,468.0,7.0
2020-10-11,total,total,1090.0,13.0
2020-10-12,female,total,678.0,7.0
2020-10-12,male,total,571.0,7.0
2020-10-12,total,total,1249.0,14.0
2020-10-13,female,total,614.0,7.0
2020-10-13,male,total,594.0,9.0
2020-10-13,total,total,1208.0,16.0
2020-10-14,female,total,1105.0,3.0
2020-10-14,male,total,967.0,4.0
2020-10-14,total,total,2072.0,7.0
2020-10-15,female,total,1102.0,6.0
2020-10-15,male,total,999.0,5.0
2020-10-15,total,total,2101.0,11.0
2020-10-16,female,total,1491.0,6.0
2020-10-16,male,total,1117.0,15.0
2020-10-16,total,total,2608.0,21.0
2020-10-17,female,total,1180.0,7.0
2020-10-17,male,total,973.0,6.0
2020-10-17,total,total,2153.0,13.0
2020-10-18,female,total,994.0,6.0
2020-10-18,male,total,862.0,13.0
2020-10-18,total,total,1856.0,19.0
2020-10-19,female,total,1033.0,7.0
2020-10-19,male,total,916.0,10.0
2020-10-19,total,total,1949.0,17.0
2020-10-20,female,total,1023.0,5.0
2020-10-20,male,total,853.0,10.0
2020-10-20,total,total,1876.0,15.0
2020-10-21,female,total,1424.0,11.0
2020-10-21,male,total,1111.0,5.0
2020-10-21,total,total,2535.0,16.0
2020-10-22,female,total,1809.0,3.0
2020-10-22,male,total,1461.0,13.0
2020-10-22,total,total,3270.0,16.0
2020-10-23,female,total,1599.0,15.0
2020-10-23,male,total,1300.0,16.0
2020-10-23,total,total,2899.0,31.0
2020-10-24,female,total,1937.0,7.0
2020-10-24,male,total,1732.0,14.0
2020-10-24,total,total,3669.0,21.0
2020-10-25,female,total,1380.0,6.0
2020-10-25,male,total,1197.0,13.0
2020-10-25,total,total,2577.0,19.0
2020-10-26,female,total,1320.0,11.0
2020-10-26,male,total,1127.0,16.0
2020-10-26,total,total,2447.0,27.0
2020-10-27,female,total,1848.0,13.0
2020-10-27,male,total,1451.0,15.0
2020-10-27,total,total,3299.0,28.0
2020-10-28,female,total,2218.0,12.0
2020-10-28,male,total,1742.0,12.0
2020-10-28,total,total,3960.0,24.0
2020-10-29,female,total,2327.0,15.0
2020-10-29,male,total,1897.0,18.0
2020-10-29,total,total,4224.0,33.0
2020-10-30,female,total,2589.0,18.0
2020-10-30,male,total,2067.0,22.0
2020-10-30,total,total,4656.0,40.0
2020-10-31,female,total,2234.0,16.0
